keys,pt_BR,en,es,fr
COMMON_BACK,Voltar,Back,Volver,Retour
COMMON_SAVE,Salvar,Save,Guardar,Sauvegarder
COMMON_CANCEL,Cancelar,Cancel,Cancelar,Annuler
COMMON_CONFIRM,Confirmar,Confirm,Confirmar,Confirmer
COMMON_LOADING,Carregando...,Loading...,Cargando...,Chargement...
COMMON_SAVED,Salvo!,Saved!,¡Guardado!,Sauvegardé !
COMMON_NONE,Nenhum,None,Ninguno,Aucun
COMMON_APPLY,Aplicar,Apply,Aplicar,Appliquer
COMMON_CONTINUE,Continuar,Continue,Continuar,Continuer
COMMON_LOCKED,Bloqueada,Locked,Bloqueada,Verrouillée
MENU_TITLE,TWILIGHT QUIVER,TWILIGHT QUIVER,TWILIGHT QUIVER,TWILIGHT QUIVER
MENU_SUBTITLE,top-down archer roguelike,top-down archer roguelike,roguelike de arquero top-down,roguelike d'archer en vue de dessus
MENU_START,Iniciar Jogo,Start Game,Empezar,Commencer
MENU_PLAYER,Inventário,Inventory,Inventario,Inventaire
MENU_SHOP,Loja,Shop,Tienda,Boutique
LOJA_TITLE,LOJA,SHOP,TIENDA,BOUTIQUE
LOJA_BUY,Comprar,Buy,Comprar,Acheter
LOJA_OWNED,Comprado,Owned,Comprado,Acheté
LOJA_INSUFFICIENT,Pétalas insuficientes,Not enough petals,Pétalos insuficientes,Pétales insuffisants
LOJA_CONFIRM,Comprar %s por %d pétalas?,Buy %s for %d petals?,¿Comprar %s por %d pétalos?,Acheter %s pour %d pétales ?
LOJA_CAT_SKINS,Skins,Skins,Skins,Apparences
LOJA_CAT_ITEMS,Itens,Items,Objetos,Objets
LOJA_DESC_WORLD_CUP,Skin temática de Copa do Mundo,World Cup themed skin,Skin temática del Mundial,Apparence sur le thème de la Coupe du Monde
PLAYER_QUEST_SHOP_PETALS,Disponível na loja por pétalas,Available in the petal shop,Disponible en la tienda de pétalos,Disponible dans la boutique de pétales
LOJA_NAME_RED_HAIR,Cabelo Vermelho,Red Hair,Pelo Rojo,Cheveux Roux
LOJA_DESC_RED_HAIR,Peça de cabelo vermelho para suas skins,Red hair piece for your skins,Pieza de pelo rojo para tus skins,Pièce de cheveux roux pour vos apparences
INVENTORY_UNLOCKED,Liberados,Unlocked,Desbloqueados,Débloqués
INVENTORY_LOCKED,Bloqueados,Locked,Bloqueados,Verrouillés
MENU_LEADERBOARD,Leaderboard,Leaderboard,Clasificación,Classement
MENU_SETTINGS,Configurações,Settings,Ajustes,Paramètres
MENU_DEV_MODE,Dev Mode,Dev Mode,Modo Dev,Mode Dev
MENU_QUIT,Quit,Quit,Salir,Quitter
NICKNAME_TITLE,BEM-VINDO,WELCOME,BIENVENIDO,BIENVENUE
NICKNAME_SUBTITLE,Qual o seu nick?,What's your nickname?,¿Cuál es tu nick?,Quel est votre pseudo ?
NICKNAME_PLACEHOLDER,Digite seu nick,Enter your nickname,Escribe tu nick,Entrez votre pseudo
NICKNAME_OK,Continuar,Continue,Continuar,Continuer
SETTINGS_TITLE,CONFIGURAÇÕES,SETTINGS,AJUSTES,PARAMÈTRES
SETTINGS_HEADER_DISPLAY,DISPLAY,DISPLAY,PANTALLA,AFFICHAGE
SETTINGS_HEADER_AUDIO,ÁUDIO,AUDIO,AUDIO,AUDIO
SETTINGS_HEADER_VIDEO,VÍDEO,VIDEO,VIDEO,VIDÉO
SETTINGS_HEADER_LOCALE,IDIOMA,LANGUAGE,IDIOMA,LANGUE
SETTINGS_DISPLAY_MODE,Modo de janela,Window mode,Modo de ventana,Mode fenêtre
SETTINGS_RESOLUTION,Resolução,Resolution,Resolución,Résolution
SETTINGS_AUDIO_MASTER,Mestre,Master,Principal,Principal
SETTINGS_AUDIO_MUSIC,Música,Music,Música,Musique
SETTINGS_AUDIO_SFX,Efeitos,SFX,Efectos,Effets
SETTINGS_VSYNC,VSync,VSync,VSync,VSync
SETTINGS_ULTRAWIDE,Preencher tela (ultrawide),Fill screen (ultrawide),Llenar pantalla (ultrawide),Remplir l'écran (ultralarge)
SETTINGS_FPS_CAP,FPS máximo,Max FPS,FPS máximo,FPS max
SETTINGS_SHOW_FPS,Mostrar FPS,Show FPS,Mostrar FPS,Afficher FPS
SETTINGS_HEADER_HUD,INTERFACE,INTERFACE,INTERFAZ,INTERFACE
SETTINGS_HIDE_TIMER,Esconder cronômetro,Hide timer,Ocultar cronómetro,Masquer le chronomètre
SETTINGS_HIDE_TIME_INFO,Esconder tempos de round/run,Hide round/run times,Ocultar tiempos de ronda/run,Masquer les temps de manche/partie
SETTINGS_HEADER_REPLAY,REPLAY,REPLAY,REPETICIÓN,REPLAY
SETTINGS_REPLAY_ENABLED,Replay da morte,Death replay,Repetición de muerte,Replay de mort
SETTINGS_REPLAY_SECONDS,Segundos antes da morte,Seconds before death,Segundos antes de morir,Secondes avant la mort
SETTINGS_LOCALE,Idioma,Language,Idioma,Langue
SETTINGS_DISPLAY_MODE_WINDOWED,Janela,Windowed,Ventana,Fenêtré
SETTINGS_DISPLAY_MODE_BORDERLESS,Tela cheia em janela,Borderless,Pantalla completa sin bordes,Plein écran fenêtré
SETTINGS_DISPLAY_MODE_FULLSCREEN,Tela cheia,Fullscreen,Pantalla completa,Plein écran
SETTINGS_FPS_UNLIMITED,Sem limite,Unlimited,Sin límite,Illimité
LEADERBOARD_TITLE,LEADERBOARD,LEADERBOARD,CLASIFICACIÓN,CLASSEMENT
LEADERBOARD_FILTER_VERSION,Versão,Version,Versión,Version
LEADERBOARD_FILTER_ALL,Todas,All,Todas,Tous
LEADERBOARD_COL_RANK,#,#,#,#
LEADERBOARD_COL_NICK,Nick,Nick,Nick,Pseudo
LEADERBOARD_COL_SCORE,Score,Score,Score,Score
LEADERBOARD_COL_WAVE,Wave,Raid,Raid,Raid
LEADERBOARD_COL_TIME,Tempo,Time,Tiempo,Temps
